k-path	energy(ev)
-0.495	-2.16287
-0.495	-2.14853
-0.495	-2.14471
-0.495	-2.14052
-0.495	-2.13665
-0.495	-2.1225
-0.495	-2.11868
-0.495	-2.11415
-0.495	-2.11029
-0.495	-2.0964
-0.495	-2.09263
-0.495	-2.08775
-0.495	-2.08396
-0.495	-2.07039
-0.495	-2.06671
-0.495	-2.0615
-0.495	-2.05782
-0.495	-2.04463
-0.495	-2.04109
-0.495	-2.03557
-0.495	-2.03204
-0.495	-2.0193
-0.495	-2.01593
-0.495	-2.01012
-0.495	-2.00678
-0.495	-1.99457
-0.495	-1.99141
-0.495	-1.98535
-0.495	-1.98223
-0.495	-1.97062
-0.495	-1.9677
-0.495	-1.96142
-0.495	-1.95857
-0.495	-1.94762
-0.495	-1.94498
-0.495	-1.93853
-0.495	-1.93597
-0.495	-1.92575
-0.495	-1.9234
-0.495	-1.91687
-0.495	-1.91461
-0.495	-1.90519
-0.495	-1.90315
-0.495	-1.8966
-0.495	-1.89466
-0.495	-1.88611
-0.495	-1.88438
-0.495	-1.8779
-0.495	-1.87629
-0.495	-1.86867
-0.495	-1.86726
-0.495	-1.86095
-0.495	-1.85966
-0.495	-1.85302
-0.495	-1.85191
-0.495	-1.84591
-0.495	-1.84492
-0.495	-1.83932
-0.495	-1.83849
-0.495	-1.83291
-0.495	-1.83219
-0.495	-1.82767
-0.495	-1.8271
-0.495	-1.82208
-0.495	-1.82161
-0.495	-1.8182
-0.495	-1.81784
-0.495	-1.81354
-0.495	-1.81327
-0.495	-1.81098
-0.495	-1.81078
-0.495	-1.80738
-0.495	-1.80725
-0.495	-1.80603
-0.495	-1.80595
-0.495	-1.80365
-0.495	-1.80362
-0.495	-1.80326
-0.495	-1.80324
-0.495	-1.2125
-0.495	1.2125
-0.495	1.80324
-0.495	1.80326
-0.495	1.80362
-0.495	1.80365
-0.495	1.80595
-0.495	1.80603
-0.495	1.80725
-0.495	1.80738
-0.495	1.81078
-0.495	1.81098
-0.495	1.81327
-0.495	1.81354
-0.495	1.81784
-0.495	1.8182
-0.495	1.82161
-0.495	1.82208
-0.495	1.8271
-0.495	1.82767
-0.495	1.83219
-0.495	1.83291
-0.495	1.83849
-0.495	1.83932
-0.495	1.84492
-0.495	1.84591
-0.495	1.85191
-0.495	1.85302
-0.495	1.85966
-0.495	1.86095
-0.495	1.86726
-0.495	1.86867
-0.495	1.87629
-0.495	1.8779
-0.495	1.88438
-0.495	1.88611
-0.495	1.89466
-0.495	1.8966
-0.495	1.90315
-0.495	1.90519
-0.495	1.91461
-0.495	1.91687
-0.495	1.9234
-0.495	1.92575
-0.495	1.93597
-0.495	1.93853
-0.495	1.94498
-0.495	1.94762
-0.495	1.95857
-0.495	1.96142
-0.495	1.9677
-0.495	1.97062
-0.495	1.98223
-0.495	1.98535
-0.495	1.99141
-0.495	1.99457
-0.495	2.00678
-0.495	2.01012
-0.495	2.01593
-0.495	2.0193
-0.495	2.03204
-0.495	2.03557
-0.495	2.04109
-0.495	2.04463
-0.495	2.05782
-0.495	2.0615
-0.495	2.06671
-0.495	2.07039
-0.495	2.08396
-0.495	2.08775
-0.495	2.09263
-0.495	2.0964
-0.495	2.11029
-0.495	2.11415
-0.495	2.11868
-0.495	2.1225
-0.495	2.13665
-0.495	2.14052
-0.495	2.14471
-0.495	2.14853
-0.495	2.16287
-0.495	2.16672
-0.495	2.17056
-0.495	2.17435
-0.495	2.1888
-0.495	2.19258
-0.495	2.19608
-0.495	2.19979
-0.495	2.21429
-0.495	2.21797
-0.495	2.22113
-0.495	2.22473
-0.495	2.23922
-0.495	2.24275
-0.495	2.24559
-0.495	2.24904
-0.495	2.26344
-0.495	2.26679
-0.495	2.26932
-0.495	2.27258
-0.495	2.28682
-0.495	2.28997
-0.495	2.2922
-0.495	2.29525
-0.495	2.30926
-0.495	2.31217
-0.495	2.31412
-0.495	2.31694
-0.495	2.33064
-0.495	2.3333
-0.495	2.33498
-0.495	2.33755
-0.495	2.35086
-0.495	2.35325
-0.495	2.35469
-0.495	2.35698
-0.495	2.36982
-0.495	2.37193
-0.495	2.37314
-0.495	2.37516
-0.495	2.38744
-0.495	2.38925
-0.495	2.39026
-0.495	2.392
-0.495	2.40362
-0.495	2.40516
-0.495	2.40597
-0.495	2.40743
-0.495	2.41831
-0.495	2.41956
-0.495	2.42021
-0.495	2.42141
-0.495	2.43142
-0.495	2.43242
-0.495	2.43291
-0.495	2.43386
-0.495	2.44291
-0.495	2.44366
-0.495	2.44403
-0.495	2.44474
-0.495	2.45272
-0.495	2.45326
-0.495	2.45351
-0.495	2.45402
-0.495	2.46081
-0.495	2.46116
-0.495	2.46132
-0.495	2.46165
-0.495	2.46714
-0.495	2.46734
-0.495	2.46743
-0.495	2.46762
-0.495	2.47168
-0.495	2.47177
-0.495	2.47181
-0.495	2.4719
-0.495	2.47441
-0.495	2.47444
-0.495	2.47445
-0.495	2.47447
-0.495	2.81171
-0.49	-2.80947
-0.49	-2.47279
-0.49	-2.47277
-0.49	-2.47276
-0.49	-2.47274
-0.49	-2.47022
-0.49	-2.47014
-0.49	-2.4701
-0.49	-2.47001
-0.49	-2.46595
-0.49	-2.46576
-0.49	-2.46567
-0.49	-2.46547
-0.49	-2.45999
-0.49	-2.45966
-0.49	-2.4595
-0.49	-2.45915
-0.49	-2.45236
-0.49	-2.45185
-0.49	-2.4516
-0.49	-2.45107
-0.49	-2.44309
-0.49	-2.44238
-0.49	-2.44202
-0.49	-2.44127
-0.49	-2.43222
-0.49	-2.43127
-0.49	-2.43078
-0.49	-2.42979
-0.49	-2.41978
-0.49	-2.41858
-0.49	-2.41794
-0.49	-2.41668
-0.49	-2.40582
-0.49	-2.40435
-0.49	-2.40354
-0.49	-2.40201
-0.49	-2.39039
-0.49	-2.38865
-0.49	-2.38765
-0.49	-2.38583
-0.49	-2.37357
-0.49	-2.37155
-0.49	-2.37034
-0.49	-2.36823
-0.49	-2.35541
-0.49	-2.35311
-0.49	-2.35167
-0.49	-2.34929
-0.49	-2.33599
-0.49	-2.33343
-0.49	-2.33174
-0.49	-2.32909
-0.49	-2.3154
-0.49	-2.31258
-0.49	-2.31063
-0.49	-2.30772
-0.49	-2.29373
-0.49	-2.29068
-0.49	-2.28845
-0.49	-2.2853
-0.49	-2.27108
-0.49	-2.26782
-0.49	-2.26529
-0.49	-2.26193
-0.49	-2.24755
-0.49	-2.24411
-0.49	-2.24127
-0.49	-2.23774
-0.49	-2.22327
-0.49	-2.21967
-0.49	-2.21651
-0.49	-2.21283
-0.49	-2.19835
-0.49	-2.19464
-0.49	-2.19114
-0.49	-2.18736
-0.49	-2.17292
-0.49	-2.16914
-0.49	-2.16529
-0.49	-2.16145
-0.49	-2.14713
-0.49	-2.14331
-0.49	-2.13912
-0.49	-2.13525
-0.49	-2.12112
-0.49	-2.1173
-0.49	-2.11277
-0.49	-2.10892
-0.49	-2.09504
-0.49	-2.09127
-0.49	-2.0864
-0.49	-2.08261
-0.49	-2.06905
-0.49	-2.06538
-0.49	-2.06017
-0.49	-2.05649
-0.49	-2.04332
-0.49	-2.03978
-0.49	-2.03425
-0.49	-2.03072
-0.49	-2.01801
-0.49	-2.01464
-0.49	-2.00883
-0.49	-2.00549
-0.49	-1.99331
-0.49	-1.99015
-0.49	-1.98408
-0.49	-1.98096
-0.49	-1.96937
-0.49	-1.96646
-0.49	-1.96017
-0.49	-1.95732
-0.49	-1.94639
-0.49	-1.94375
-0.49	-1.9373
-0.49	-1.93474
-0.49	-1.92454
-0.49	-1.92219
-0.49	-1.91565
-0.49	-1.9134
-0.49	-1.904
-0.49	-1.90196
-0.49	-1.8954
-0.49	-1.89347
-0.49	-1.88493
-0.49	-1.88321
-0.49	-1.87672
-0.49	-1.87512
-0.49	-1.86751
-0.49	-1.8661
-0.49	-1.85979
-0.49	-1.8585
-0.49	-1.85188
-0.49	-1.85077
-0.49	-1.84475
-0.49	-1.84377
-0.49	-1.83818
-0.49	-1.83735
-0.49	-1.83176
-0.49	-1.83105
-0.49	-1.82655
-0.49	-1.82597
-0.49	-1.82095
-0.49	-1.82048
-0.49	-1.81709
-0.49	-1.81672
-0.49	-1.81242
-0.49	-1.81215
-0.49	-1.80987
-0.49	-1.80967
-0.49	-1.80626
-0.49	-1.80613
-0.49	-1.80492
-0.49	-1.80484
-0.49	-1.80253
-0.49	-1.8025
-0.49	-1.80215
-0.49	-1.80213
-0.49	-1.21263
-0.49	1.21263
-0.49	1.80213
-0.49	1.80215
-0.49	1.8025
-0.49	1.80253
-0.49	1.80484
-0.49	1.80492
-0.49	1.80613
-0.49	1.80626
-0.49	1.80967
-0.49	1.80987
-0.49	1.81215
-0.49	1.81242
-0.49	1.81672
-0.49	1.81709
-0.49	1.82048
-0.49	1.82095
-0.49	1.82597
-0.49	1.82655
-0.49	1.83105
-0.49	1.83176
-0.49	1.83735
-0.49	1.83818
-0.49	1.84377
-0.49	1.84475
-0.49	1.85077
-0.49	1.85188
-0.49	1.8585
-0.49	1.85979
-0.49	1.8661
-0.49	1.86751
-0.49	1.87512
-0.49	1.87672
-0.49	1.88321
-0.49	1.88493
-0.49	1.89347
-0.49	1.8954
-0.49	1.90196
-0.49	1.904
-0.49	1.9134
-0.49	1.91565
-0.49	1.92219
-0.49	1.92454
-0.49	1.93474
-0.49	1.9373
-0.49	1.94375
-0.49	1.94639
-0.49	1.95732
-0.49	1.96017
-0.49	1.96646
-0.49	1.96937
-0.49	1.98096
-0.49	1.98408
-0.49	1.99015
-0.49	1.99331
-0.49	2.00549
-0.49	2.00883
-0.49	2.01464
-0.49	2.01801
-0.49	2.03072
-0.49	2.03425
-0.49	2.03978
-0.49	2.04332
-0.49	2.05649
-0.49	2.06017
-0.49	2.06538
-0.49	2.06905
-0.49	2.08261
-0.49	2.0864
-0.49	2.09127
-0.49	2.09504
-0.49	2.10892
-0.49	2.11277
-0.49	2.1173
-0.49	2.12112
-0.49	2.13525
-0.49	2.13912
-0.49	2.14331
-0.49	2.14713
-0.49	2.16145
-0.49	2.16529
-0.49	2.16914
-0.49	2.17292
-0.49	2.18736
-0.49	2.19114
-0.49	2.19464
-0.49	2.19835
-0.49	2.21283
-0.49	2.21651
-0.49	2.21967
-0.49	2.22327
-0.49	2.23774
-0.49	2.24127
-0.49	2.24411
-0.49	2.24755
-0.49	2.26193
-0.49	2.26529
-0.49	2.26782
-0.49	2.27108
-0.49	2.2853
-0.49	2.28845
-0.49	2.29068
-0.49	2.29373
-0.49	2.30772
-0.49	2.31063
-0.49	2.31258
-0.49	2.3154
-0.49	2.32909
-0.49	2.33174
-0.49	2.33343
-0.49	2.33599
-0.49	2.34929
-0.49	2.35167
-0.49	2.35311
-0.49	2.35541
-0.49	2.36823
-0.49	2.37034
-0.49	2.37155
-0.49	2.37357
-0.49	2.38583
-0.49	2.38765
-0.49	2.38865
-0.49	2.39039
-0.49	2.40201
-0.49	2.40354
-0.49	2.40435
-0.49	2.40582
-0.49	2.41668
-0.49	2.41794
-0.49	2.41858
-0.49	2.41978
-0.49	2.42979
-0.49	2.43078
-0.49	2.43127
-0.49	2.43222
-0.49	2.44127
-0.49	2.44202
-0.49	2.44238
-0.49	2.44309
-0.49	2.45107
-0.49	2.4516
-0.49	2.45185
-0.49	2.45236
-0.49	2.45915
-0.49	2.4595
-0.49	2.45966
-0.49	2.45999
-0.49	2.46547
-0.49	2.46567
-0.49	2.46576
-0.49	2.46595
-0.49	2.47001
-0.49	2.4701
-0.49	2.47014
-0.49	2.47022
-0.49	2.47274
-0.49	2.47276
-0.49	2.47277
-0.49	2.47279
-0.49	2.80947
-0.485	-2.80574
-0.485	-2.47001
-0.485	-2.46999
-0.485	-2.46998
-0.485	-2.46995
-0.485	-2.46744
-0.485	-2.46736
-0.485	-2.46732
-0.485	-2.46723
-0.485	-2.46318
-0.485	-2.46299
-0.485	-2.4629
-0.485	-2.4627
-0.485	-2.45722
-0.485	-2.45689
-0.485	-2.45673
-0.485	-2.45638
-0.485	-2.4496
-0.485	-2.4491
-0.485	-2.44885
-0.485	-2.44831
-0.485	-2.44035
-0.485	-2.43963
-0.485	-2.43927
-0.485	-2.43852
-0.485	-2.42949
-0.485	-2.42854
-0.485	-2.42805
-0.485	-2.42706
-0.485	-2.41706
-0.485	-2.41587
-0.485	-2.41522
-0.485	-2.41397
-0.485	-2.40312
-0.485	-2.40166
-0.485	-2.40085
-0.485	-2.39931
-0.485	-2.38772
-0.485	-2.38598
-0.485	-2.38498
-0.485	-2.38316
-0.485	-2.37092
-0.485	-2.3689
-0.485	-2.36769
-0.485	-2.36559
-0.485	-2.35279
-0.485	-2.35049
-0.485	-2.34905
-0.485	-2.34667
-0.485	-2.3334
-0.485	-2.33083
-0.485	-2.32915
-0.485	-2.32649
-0.485	-2.31284
-0.485	-2.31002
-0.485	-2.30807
-0.485	-2.30516
-0.485	-2.29119
-0.485	-2.28814
-0.485	-2.28591
-0.485	-2.28277
-0.485	-2.26857
-0.485	-2.26531
-0.485	-2.26278
-0.485	-2.25943
-0.485	-2.24508
-0.485	-2.24164
-0.485	-2.2388
-0.485	-2.23527
-0.485	-2.22083
-0.485	-2.21724
-0.485	-2.21407
-0.485	-2.2104
-0.485	-2.19595
-0.485	-2.19224
-0.485	-2.18874
-0.485	-2.18496
-0.485	-2.17056
-0.485	-2.16677
-0.485	-2.16293
-0.485	-2.15908
-0.485	-2.1448
-0.485	-2.14098
-0.485	-2.13679
-0.485	-2.13292
-0.485	-2.11883
-0.485	-2.11501
-0.485	-2.11048
-0.485	-2.10663
-0.485	-2.09279
-0.485	-2.08902
-0.485	-2.08414
-0.485	-2.08035
-0.485	-2.06683
-0.485	-2.06316
-0.485	-2.05795
-0.485	-2.05427
-0.485	-2.04114
-0.485	-2.0376
-0.485	-2.03207
-0.485	-2.02854
-0.485	-2.01587
-0.485	-2.0125
-0.485	-2.00668
-0.485	-2.00334
-0.485	-1.99119
-0.485	-1.98804
-0.485	-1.98196
-0.485	-1.97885
-0.485	-1.96729
-0.485	-1.96438
-0.485	-1.95809
-0.485	-1.95524
-0.485	-1.94435
-0.485	-1.94171
-0.485	-1.93526
-0.485	-1.93269
-0.485	-1.92253
-0.485	-1.92018
-0.485	-1.91364
-0.485	-1.91138
-0.485	-1.90202
-0.485	-1.89998
-0.485	-1.89341
-0.485	-1.89148
-0.485	-1.88298
-0.485	-1.88125
-0.485	-1.87476
-0.485	-1.87315
-0.485	-1.86558
-0.485	-1.86417
-0.485	-1.85785
-0.485	-1.85656
-0.485	-1.84997
-0.485	-1.84886
-0.485	-1.84284
-0.485	-1.84185
-0.485	-1.83629
-0.485	-1.83547
-0.485	-1.82986
-0.485	-1.82915
-0.485	-1.82468
-0.485	-1.8241
-0.485	-1.81906
-0.485	-1.8186
-0.485	-1.81523
-0.485	-1.81486
-0.485	-1.81054
-0.485	-1.81027
-0.485	-1.80802
-0.485	-1.80782
-0.485	-1.80439
-0.485	-1.80427
-0.485	-1.80307
-0.485	-1.80299
-0.485	-1.80067
-0.485	-1.80064
-0.485	-1.80029
-0.485	-1.80027
-0.485	-1.21284
-0.485	1.21284
-0.485	1.80027
-0.485	1.80029
-0.485	1.80064
-0.485	1.80067
-0.485	1.80299
-0.485	1.80307
-0.485	1.80427
-0.485	1.80439
-0.485	1.80782
-0.485	1.80802
-0.485	1.81027
-0.485	1.81054
-0.485	1.81486
-0.485	1.81523
-0.485	1.8186
-0.485	1.81906
-0.485	1.8241
-0.485	1.82468
-0.485	1.82915
-0.485	1.82986
-0.485	1.83547
-0.485	1.83629
-0.485	1.84185
-0.485	1.84284
-0.485	1.84886
-0.485	1.84997
-0.485	1.85656
-0.485	1.85785
-0.485	1.86417
-0.485	1.86558
-0.485	1.87315
-0.485	1.87476
-0.485	1.88125
-0.485	1.88298
-0.485	1.89148
-0.485	1.89341
-0.485	1.89998
-0.485	1.90202
-0.485	1.91138
-0.485	1.91364
-0.485	1.92018
-0.485	1.92253
-0.485	1.93269
-0.485	1.93526
-0.485	1.94171
-0.485	1.94435
-0.485	1.95524
-0.485	1.95809
-0.485	1.96438
-0.485	1.96729
-0.485	1.97885
-0.485	1.98196
-0.485	1.98804
-0.485	1.99119
-0.485	2.00334
-0.485	2.00668
-0.485	2.0125
-0.485	2.01587
-0.485	2.02854
-0.485	2.03207
-0.485	2.0376
-0.485	2.04114
-0.485	2.05427
-0.485	2.05795
-0.485	2.06316
-0.485	2.06683
-0.485	2.08035
-0.485	2.08414
-0.485	2.08902
-0.485	2.09279
-0.485	2.10663
-0.485	2.11048
-0.485	2.11501
-0.485	2.11883
-0.485	2.13292
-0.485	2.13679
-0.485	2.14098
-0.485	2.1448
-0.485	2.15908
-0.485	2.16293
-0.485	2.16677
-0.485	2.17056
-0.485	2.18496
-0.485	2.18874
-0.485	2.19224
-0.485	2.19595
-0.485	2.2104
-0.485	2.21407
-0.485	2.21724
-0.485	2.22083
-0.485	2.23527
-0.485	2.2388
-0.485	2.24164
-0.485	2.24508
-0.485	2.25943
-0.485	2.26278
-0.485	2.26531
-0.485	2.26857
-0.485	2.28277
-0.485	2.28591
-0.485	2.28814
-0.485	2.29119
-0.485	2.30516
-0.485	2.30807
-0.485	2.31002
-0.485	2.31284
-0.485	2.32649
-0.485	2.32915
-0.485	2.33083
-0.485	2.3334
-0.485	2.34667
-0.485	2.34905
-0.485	2.35049
-0.485	2.35279
-0.485	2.36559
-0.485	2.36769
-0.485	2.3689
-0.485	2.37092
-0.485	2.38316
-0.485	2.38498
-0.485	2.38598
-0.485	2.38772
-0.485	2.39931
-0.485	2.40085
-0.485	2.40166
-0.485	2.40312
-0.485	2.41397
-0.485	2.41522
-0.485	2.41587
-0.485	2.41706
-0.485	2.42706
-0.485	2.42805
-0.485	2.42854
-0.485	2.42949
-0.485	2.43852
-0.485	2.43927
-0.485	2.43963
-0.485	2.44035
-0.485	2.44831
-0.485	2.44885
-0.485	2.4491
-0.485	2.4496
-0.485	2.45638
-0.485	2.45673
-0.485	2.45689
-0.485	2.45722
-0.485	2.4627
-0.485	2.4629
-0.485	2.46299
-0.485	2.46318
-0.485	2.46723
-0.485	2.46732
-0.485	2.46736
-0.485	2.46744
-0.485	2.46995
-0.485	2.46998
-0.485	2.46999
-0.485	2.47001
-0.485	2.80574
-0.48	-2.80051
-0.48	-2.46611
-0.48	-2.46609
-0.48	-2.46608
-0.48	-2.46606
-0.48	-2.46355
-0.48	-2.46347
-0.48	-2.46343
-0.48	-2.46334
-0.48	-2.45929
-0.48	-2.4591
-0.48	-2.45901
-0.48	-2.45881
-0.48	-2.45335
-0.48	-2.45302
-0.48	-2.45286
-0.48	-2.45251
-0.48	-2.44575
-0.48	-2.44524
-0.48	-2.44499
-0.48	-2.44446
-0.48	-2.43651
-0.48	-2.43579
-0.48	-2.43543
-0.48	-2.43468
-0.48	-2.42567
-0.48	-2.42472
-0.48	-2.42423
-0.48	-2.42324
-0.48	-2.41327
-0.48	-2.41207
-0.48	-2.41143
-0.48	-2.41018
-0.48	-2.39936
-0.48	-2.39789
-0.48	-2.39708
-0.48	-2.39555
-0.48	-2.38399
-0.48	-2.38225
-0.48	-2.38124
-0.48	-2.37943
-0.48	-2.36722
-0.48	-2.3652
-0.48	-2.36399
-0.48	-2.36189
-0.48	-2.34912
-0.48	-2.34682
-0.48	-2.34538
-0.48	-2.343
-0.48	-2.32977
